tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pct,7,aac06202f00169294688682e50daecc9c98a831b,BUG,soft lockup,ieee80211_handle_queued_frames,BUG: soft lockup in ieee80211_handle_queued_frames,cover_eval_cp,8,,
sect_pct,7,844a59e2234a857b127e45d3c95432f86b5c1d44,SYZFATAL,,,SYZFATAL: Manager.NewInput call failed: write tcp IP:NUM->IP:NUM: i/o timeout,cover_eval_cp,1,,
sect_pct,7,a6b4da7baffd25e630e39e5b0555269fa08f3e94,INFO,task hung,cleanup_net,INFO: task hung in cleanup_net,cover_eval_cp,2,,
sect_pct,7,7214aa7d762fab9b78cf0384c36ff62783f904b8,INFO,rcu detected stall,smp_call_function,INFO: rcu detected stall in smp_call_function,cover_eval_cp,1,,
sect_pct,7,efb8c5fe01ecb5116825ce2409485c164c048f88,BUG,,,BUG: workqueue lockup,cover_eval_cp,5,,
sect_pct,7,02c21219d36edc62db775545d5206fd5a3150199,KASAN,slab-use-after-free Read,v4l2_fh_init,KASAN: slab-use-after-free Read in v4l2_fh_init,cover_eval_cp,2,,
sect_pct,7,78cdfde87b5285c5274cf9336a873c5072c53d29,WARNING,,p9_client_create,WARNING in p9_client_create,cover_eval_cp,42,,
sect_pct,7,733343303fca2ceb29ab47d7e2a5c230a0c592d6,WARNING,,vkms_get_vblank_timestamp,WARNING in vkms_get_vblank_timestamp,cover_eval_cp,1,,
sect_pct,7,37936123c8f81e38405258568172f9767d444d94,KASAN,slab-use-after-free Read,em28xx_release_resources,KASAN: slab-use-after-free Read in em28xx_release_resources,cover_eval_cp,2,,
sect_pct,7,7710d479d25bd92fa8c6ab0739174ea86b45b806,BUG,unable to handle kernel paging request,filldir64,BUG: unable to handle kernel paging request in filldir64,cover_eval_cp,22,,
sect_pct,7,5983a65cfeddb32fed63f8a733b3d810e05ba119,INFO,task hung,_free_event,INFO: task hung in _free_event,cover_eval_cp,4,,
sect_pct,7,b8cd92c1478d22bf00f49d211bf24287a812a0e0,INFO,task hung,bdev_release,INFO: task hung in bdev_release,cover_eval_cp,14,,
